TIMESTAMP,SHIFT,MACHINE_TYPE,MACHINE_NAME,HARDWARE_ID,START_TIME,END_TIME,METRIC1,METRIC2,METRIC3,METRIC4,METRIC5,METRIC6,METRIC7,METRIC8,METRIC9,METRIC10
2024-07-04 00:00:00+05:30,B,GMAW,D&H -1,1048577,14:40:01+05:30,14:50:00+05:30,267,33,0,158,0,58,4,3,267,0
2024-07-04 00:00:00+05:30,A,GMAW,D&H-9,520192,11:20:01+05:30,09:20:00+05:30,112,188,0,97,0,93,86,11,107,2
2024-07-04 00:00:00+05:30,A,GMAW,D&H-4,0,09:40:01+05:30,09:45:00+05:30,38,262,0,33,0,38,1,4,38,0
2024-07-04 00:00:00+05:30,A,GMAW,D&H-2,0,10:00:01+05:30,09:00:00+05:30,3842,-3542,1,1374,153,1693,2658,70,603,2612
2024-07-04 00:00:00+05:30,A,GMAW,D&H -1,1048577,10:00:01+05:30,09:00:00+05:30,2496,-2196,0,1242,3,1935,36,26,741,32
2024-07-04 00:00:00+05:30,B,GMAW,D&H-2,0,14:25:01+05:30,14:50:00+05:30,324,-24,0,296,0,324,4,5,322,0
2024-07-04 00:00:00+05:30,A,GMAW,LINCOLN-4,0,13:30:01+05:30,14:00:00+05:30,1109,-809,0,1068,400,62,0,1109,1106,3
2024-07-04 00:00:00+05:30,B,GMAW,LINCOLN-4,0,14:45:01+05:30,14:55:00+05:30,21,279,0,11,6,8,0,21,14,6
2024-07-04 00:00:00+05:30,A,GMAW,D&H-7,7340039,13:40:01+05:30,13:50:00+05:30,58,242,0,19,0,58,0,58,0,32
2024-07-04 00:00:00+05:30,A,GMAW,LINCOLN-10,835584,10:15:01+05:30,11:45:00+05:30,1193,-893,0,233,114,483,343,38,0,1193
2024-07-04 00:00:00+05:30,B,GMAW,D&H-4,0,14:15:01+05:30,14:20:00+05:30,22,278,0,19,5,7,1,2,22,0
