hardware_id,oid,shid,start_tm,end_tm,span_raw,type,parameter,span_seconds,mid,machine_name,machine_type,is_gmaw,is_clad,source
EC6260723F44,7284324,2,2024-08-08 17:19:00+05:30,2024-08-08 17:19:22+05:30,23,high,current,23,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:19:33+05:30,2024-08-08 17:19:37+05:30,5,high,current,5,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:19:48+05:30,2024-08-08 17:20:00+05:30,13,high,current,13,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:18:59+05:30,2024-08-08 17:20:00+05:30,54,low,voltage,54,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:20:01+05:30,2024-08-08 17:20:22+05:30,20,low,voltage,20,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:45:48+05:30,2024-08-08 17:46:03+05:30,16,high,current,16,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:46:36+05:30,2024-08-08 17:46:44+05:30,9,high,current,9,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:48:11+05:30,2024-08-08 17:48:31+05:30,16,high,current,16,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:48:40+05:30,2024-08-08 17:48:44+05:30,5,high,current,5,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:48:46+05:30,2024-08-08 17:48:52+05:30,7,high,current,7,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:45:46+05:30,2024-08-08 17:49:30+05:30,204,low,voltage,204,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:45:46+05:30,2024-08-08 17:46:59+05:30,71,high,gas,71,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:47:06+05:30,2024-08-08 17:47:31+05:30,26,high,gas,26,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:47:40+05:30,2024-08-08 17:48:11+05:30,32,high,gas,32,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:48:18+05:30,2024-08-08 17:49:30+05:30,72,high,gas,72,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:59:36+05:30,2024-08-08 18:00:00+05:30,25,high,current,25,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:59:33+05:30,2024-08-08 18:00:00+05:30,28,low,voltage,28,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 17:59:34+05:30,2024-08-08 18:00:00+05:30,27,high,gas,27,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:04:28+05:30,2024-08-08 18:04:38+05:30,11,high,current,11,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:00:01+05:30,2024-08-08 18:04:50+05:30,30,low,voltage,30,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:00:01+05:30,2024-08-08 18:04:50+05:30,30,high,gas,30,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:05:22+05:30,2024-08-08 18:05:28+05:30,7,high,current,7,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:05:49+05:30,2024-08-08 18:06:08+05:30,20,high,current,20,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:06:15+05:30,2024-08-08 18:06:36+05:30,22,high,current,22,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:05:04+05:30,2024-08-08 18:06:08+05:30,58,low,voltage,58,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:06:15+05:30,2024-08-08 18:06:56+05:30,27,low,voltage,27,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:05:05+05:30,2024-08-08 18:05:17+05:30,13,high,gas,13,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:05:22+05:30,2024-08-08 18:05:43+05:30,22,high,gas,22,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:05:49+05:30,2024-08-08 18:06:08+05:30,20,high,gas,20,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:06:15+05:30,2024-08-08 18:06:37+05:30,23,high,gas,23,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:33:43+05:30,2024-08-08 18:35:00+05:30,35,low,voltage,35,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:33:44+05:30,2024-08-08 18:34:02+05:30,7,high,gas,7,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:34:24+05:30,2024-08-08 18:34:45+05:30,22,high,gas,22,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:35:01+05:30,2024-08-08 18:38:23+05:30,145,low,voltage,145,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:38:25+05:30,2024-08-08 18:40:00+05:30,80,low,voltage,80,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:35:01+05:30,2024-08-08 18:35:19+05:30,19,high,gas,19,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:35:24+05:30,2024-08-08 18:35:49+05:30,26,high,gas,26,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:36:05+05:30,2024-08-08 18:36:28+05:30,24,high,gas,24,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:36:33+05:30,2024-08-08 18:37:53+05:30,47,high,gas,47,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:37:59+05:30,2024-08-08 18:38:23+05:30,25,high,gas,25,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:38:25+05:30,2024-08-08 18:38:40+05:30,16,high,gas,16,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:38:54+05:30,2024-08-08 18:39:34+05:30,41,high,gas,41,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:39:40+05:30,2024-08-08 18:40:00+05:30,21,high,gas,21,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:40:01+05:30,2024-08-08 18:43:38+05:30,103,low,voltage,103,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:40:01+05:30,2024-08-08 18:41:24+05:30,75,high,gas,75,,,,,,unregistered_device
EC6260723F44,7284324,2,2024-08-08 18:43:12+05:30,2024-08-08 18:43:38+05:30,27,high,gas,27,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 07:30:27+05:30,2024-08-09 07:30:45+05:30,15,high,current,15,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 07:30:51+05:30,2024-08-09 07:30:59+05:30,9,high,current,9,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 07:30:03+05:30,2024-08-09 07:30:59+05:30,44,low,voltage,44,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 07:30:03+05:30,2024-08-09 07:30:08+05:30,5,high,gas,5,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:15:05+05:30,2024-08-09 10:16:54+05:30,110,high,current,110,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:17:48+05:30,2024-08-09 10:19:06+05:30,79,high,current,79,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:15:04+05:30,2024-08-09 10:19:06+05:30,191,low,voltage,191,,,,,,unregistered_device
EC6260723F44,7284324,1,2024-08-09 10:20:04+05:30,2024-08-09 10:21:29+05:30,86,high,current,86,,,,,,unregistered_device
